
0,California
1,North Carolina
2,Indiana
3,Louisiana
4,Kansas
5,Montana
6,Virginia
7,South Carolina
8,Arkansas
9,Arizona
10,South Dakota
11,Kentucky
12,Mississippi
13,Oklahoma
14,West Virginia
15,New Hampshire
16,Texas
17,Utah
18,Vermont
19,Minnesota
20,Maryland
21,Alabama
22,Nevada
23,Washington
24,Rhode Island
25,North Dakota
26,Connecticut
27,Iowa
28,Maine
29,Wisconsin
30,Hawaii
31,Missouri
32,New Mexico
33,Idaho
34,New York
35,Nebraska
36,Georgia
37,Pennsylvania
38,Delaware
39,Illinois
40,Florida
41,Oregon
42,Michigan
43,Tennessee
44,Wyoming
45,Colorado
46,New Jersey
47,Massachusetts
